name,description,card_type,landscape,cost,atk,def,ability,deck_info,image_name
Abdominal Snowman,+3 ATK while your opponent does not control a Creature in this Lane.,Creature,IcyLands,1,3,2,Continuous,Ice King's IcyLands Deck (CP4) - 2,Abdominal Snowman.jpg
Abraca Amadeus,Target opponent discards a card from his hand for every 5 cards in your discard pile.,Spell,Useless Swamp,1,,,,BMO's Useless Swamp Deck (CP2) - 1,Abraca Amadeus.jpg
Abracadaniel,"Pay 1 Action >>> Reveal the top card of your deck. If it's a Rainbow card, play it.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Abracadaniel.jpg
Adorabunny,"At the start of your turn, if Adorabunny has 4 or more Damage on it, deal 3 Damage to target opponent.",Creature,NiceLands,1,0,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1 : Charlie's Blue Plains/NiceLands Deck (2v2) - 2",Adorabunny.jpg
Aeromancer,"When Aeromancer enters play, you may swap the positions of 2 Creatures [that the] target player controls.",Creature,Blue Plains,2,3,5,Entering Play,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Aeromancer.jpg
Albino Eyebat,"While Albino Eyebat has exactly 2 Damage on it, it has +2 ATK.",Creature,NiceLands,1,2,7,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 2,Albino Eyebat.jpg
Amaizing Avalanche,Each of your Creatures has +1 ATK this turn for each face-down Landscape in play.,Spell,Cornfield,1,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Amaizing Avalanche.jpg
Ancient Scholar,"FLOOP >>> Return a random Rainbow card from your Discard Pile to your Hand. If you Control a Building in this Lane, gain 1 Action.",Creature,Blue Plains,1,1,7,FLOOP,Finn's Blue Plains Deck (CP1) - 2,Ancient Scholar.jpg
Angel Heart,"While Angel Heart has exactly 3 Damage on it, it has +3 ATK.",Creature,Rainbow,0,0,7,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 2,Angel Heart.jpg
Angel of Chocolate,Pay 1 Action >>> Heal all Damage from Angel of Chocolate.,Creature,NiceLands,2,3,7,Ignition,Princess Bubblegum's NiceLands Deck (CP3) - 1,Angel of Chocolate.jpg
Angel of Vanilla,Pay 1 Action >>> Heal all Damage from Angel of Vanilla.,Creature,NiceLands,1,2,6,Ignition,Princess Bubblegum's NiceLands Deck (CP3) - 2,Angel of Vanilla.jpg
